==============================================================================
GHRN | tfinance | unified | TR40 | seed 42
==============================================================================
Run ID: ghrn_tfinance_unified_tr40_seed42_t4_20260916T235426Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.015 (post_aggregation)
Loaded tfinance: 39,357 nodes, 10 features, 1 relation(s)
Split: train 15,742 | valid 7,871 | test 15,744
Graph: 39,357 nodes, 42,484,443 stored directed edges (backend: dgl)
Training fraud/normal: 722/15,020 | fraud weight 20.8033
Parameters: 17,346 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage2_refined] epoch  35/100 | loss 0.636374 | train 0.358s | val AUPRC 0.790794 | val AUROC 0.947472 | thr 0.99 | best epoch 35
[stage2_refined] epoch  36/100 | loss 0.676826 | train 0.358s | val AUPRC 0.803465 | val AUROC 0.944218 | thr 0.95 | best epoch 36
[stage2_refined] epoch  37/100 | loss 0.702626 | train 0.359s | val AUPRC 0.759389 | val AUROC 0.941024 | thr 0.96 | best epoch 36
[stage2_refined] epoch  38/100 | loss 0.678299 | train 0.358s | val AUPRC 0.665431 | val AUROC 0.936991 | thr 0.97 | best epoch 36
[stage2_refined] epoch  39/100 | loss 0.612181 | train 0.360s | val AUPRC 0.555719 | val AUROC 0.933217 | thr 0.99 | best epoch 36
[stage2_refined] epoch  40/100 | loss 0.539716 | train 0.359s | val AUPRC 0.513661 | val AUROC 0.931831 | thr 0.99 | best epoch 36
[stage2_refined] epoch  41/100 | loss 0.502983 | train 0.359s | val AUPRC 0.512194 | val AUROC 0.934593 | thr 0.98 | best epoch 36
[stage2_refined] epoch  42/100 | loss 0.488374 | train 0.358s | val AUPRC 0.553612 | val AUROC 0.939184 | thr 0.99 | best epoch 36
[stage2_refined] epoch  43/100 | loss 0.468432 | train 0.361s | val AUPRC 0.612657 | val AUROC 0.943942 | thr 0.96 | best epoch 36
[stage2_refined] epoch  44/100 | loss 0.447957 | train 0.358s | val AUPRC 0.681714 | val AUROC 0.947534 | thr 0.98 | best epoch 36
[stage2_refined] epoch  45/100 | loss 0.424057 | train 0.363s | val AUPRC 0.750923 | val AUROC 0.949585 | thr 0.98 | best epoch 36
[stage2_refined] epoch  46/100 | loss 0.390130 | train 0.359s | val AUPRC 0.787348 | val AUROC 0.949635 | thr 0.95 | best epoch 36
[stage2_refined] epoch  47/100 | loss 0.359773 | train 0.360s | val AUPRC 0.779275 | val AUROC 0.946959 | thr 0.99 | best epoch 36
[stage2_refined] epoch  48/100 | loss 0.345598 | train 0.363s | val AUPRC 0.764503 | val AUROC 0.945110 | thr 0.98 | best epoch 36
[stage2_refined] epoch  49/100 | loss 0.342493 | train 0.360s | val AUPRC 0.767849 | val AUROC 0.946602 | thr 0.98 | best epoch 36
[stage2_refined] epoch  50/100 | loss 0.334116 | train 0.363s | val AUPRC 0.791060 | val AUROC 0.951217 | thr 0.98 | best epoch 36
[stage2_refined] epoch  51/100 | loss 0.312607 | train 0.364s | val AUPRC 0.815472 | val AUROC 0.955732 | thr 0.98 | best epoch 51
[stage2_refined] epoch  52/100 | loss 0.295678 | train 0.363s | val AUPRC 0.814941 | val AUROC 0.957004 | thr 0.97 | best epoch 51
[stage2_refined] epoch  53/100 | loss 0.290152 | train 0.362s | val AUPRC 0.803131 | val AUROC 0.957826 | thr 0.99 | best epoch 51
[stage2_refined] epoch  54/100 | loss 0.286025 | train 0.362s | val AUPRC 0.795688 | val AUROC 0.959391 | thr 0.97 | best epoch 51
[stage2_refined] epoch  55/100 | loss 0.277551 | train 0.368s | val AUPRC 0.797893 | val AUROC 0.960948 | thr 0.96 | best epoch 51
[stage2_refined] epoch  56/100 | loss 0.267609 | train 0.365s | val AUPRC 0.809226 | val AUROC 0.960288 | thr 0.96 | best epoch 51
[stage2_refined] epoch  57/100 | loss 0.258082 | train 0.365s | val AUPRC 0.819292 | val AUROC 0.959312 | thr 0.96 | best epoch 57
[stage2_refined] epoch  58/100 | loss 0.250411 | train 0.365s | val AUPRC 0.822938 | val AUROC 0.957610 | thr 0.90 | best epoch 58
[stage2_refined] epoch  59/100 | loss 0.250239 | train 0.366s | val AUPRC 0.825033 | val AUROC 0.957472 | thr 0.91 | best epoch 59
[stage2_refined] epoch  60/100 | loss 0.247912 | train 0.369s | val AUPRC 0.827099 | val AUROC 0.959440 | thr 0.91 | best epoch 60
