==============================================================================
GHRN | elliptic | unified | TR40 | seed 42
==============================================================================
Run ID: ghrn_elliptic_unified_tr40_seed42_a6000_20260913T194138Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.03 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded elliptic: 203,769 nodes, 166 features, 1 relation(s)
Split: train 18,626 | valid 9,313 | test 18,625
Graph: 203,769 nodes, 672,479 stored directed edges (backend: dgl)
Training fraud/normal: 1,669/16,957 | fraud weight 10.1600
Parameters: 27,330 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage2_refined] epoch  55/100 | loss 0.044936 | train 0.026s | val AUPRC 0.700107 | val AUROC 0.851216 | thr 0.91 | best epoch 55
[stage2_refined] epoch  56/100 | loss 0.043031 | train 0.026s | val AUPRC 0.701921 | val AUROC 0.851039 | thr 0.92 | best epoch 56
[stage2_refined] epoch  57/100 | loss 0.041271 | train 0.026s | val AUPRC 0.703853 | val AUROC 0.851089 | thr 0.93 | best epoch 57
[stage2_refined] epoch  58/100 | loss 0.039281 | train 0.026s | val AUPRC 0.705542 | val AUROC 0.851086 | thr 0.94 | best epoch 58
[stage2_refined] epoch  59/100 | loss 0.037613 | train 0.026s | val AUPRC 0.706697 | val AUROC 0.850858 | thr 0.93 | best epoch 59
[stage2_refined] epoch  60/100 | loss 0.035830 | train 0.026s | val AUPRC 0.707619 | val AUROC 0.850623 | thr 0.93 | best epoch 60
[stage2_refined] epoch  61/100 | loss 0.034291 | train 0.026s | val AUPRC 0.708708 | val AUROC 0.850655 | thr 0.96 | best epoch 61
[stage2_refined] epoch  62/100 | loss 0.032620 | train 0.026s | val AUPRC 0.710032 | val AUROC 0.850846 | thr 0.97 | best epoch 62
[stage2_refined] epoch  63/100 | loss 0.031195 | train 0.026s | val AUPRC 0.710962 | val AUROC 0.851040 | thr 0.94 | best epoch 63
[stage2_refined] epoch  64/100 | loss 0.029645 | train 0.026s | val AUPRC 0.711677 | val AUROC 0.851281 | thr 0.94 | best epoch 64
[stage2_refined] epoch  65/100 | loss 0.028377 | train 0.026s | val AUPRC 0.712871 | val AUROC 0.851772 | thr 0.95 | best epoch 65
[stage2_refined] epoch  66/100 | loss 0.027002 | train 0.026s | val AUPRC 0.713273 | val AUROC 0.852172 | thr 0.96 | best epoch 66
[stage2_refined] epoch  67/100 | loss 0.025841 | train 0.026s | val AUPRC 0.713847 | val AUROC 0.852335 | thr 0.97 | best epoch 67
[stage2_refined] epoch  68/100 | loss 0.024600 | train 0.026s | val AUPRC 0.714215 | val AUROC 0.852413 | thr 0.95 | best epoch 68
[stage2_refined] epoch  69/100 | loss 0.023499 | train 0.026s | val AUPRC 0.714615 | val AUROC 0.852598 | thr 0.96 | best epoch 69
[stage2_refined] epoch  70/100 | loss 0.022358 | train 0.026s | val AUPRC 0.714765 | val AUROC 0.852708 | thr 0.96 | best epoch 70
[stage2_refined] epoch  71/100 | loss 0.021313 | train 0.026s | val AUPRC 0.714764 | val AUROC 0.852820 | thr 0.96 | best epoch 70
[stage2_refined] epoch  72/100 | loss 0.020334 | train 0.026s | val AUPRC 0.714943 | val AUROC 0.853092 | thr 0.96 | best epoch 72
[stage2_refined] epoch  73/100 | loss 0.019347 | train 0.026s | val AUPRC 0.714968 | val AUROC 0.853384 | thr 0.96 | best epoch 73
[stage2_refined] epoch  74/100 | loss 0.018491 | train 0.026s | val AUPRC 0.714782 | val AUROC 0.853510 | thr 0.96 | best epoch 73
[stage2_refined] epoch  75/100 | loss 0.017591 | train 0.026s | val AUPRC 0.714536 | val AUROC 0.853634 | thr 0.94 | best epoch 73
[stage2_refined] epoch  76/100 | loss 0.016798 | train 0.026s | val AUPRC 0.714920 | val AUROC 0.853862 | thr 0.95 | best epoch 73
[stage2_refined] epoch  77/100 | loss 0.016015 | train 0.026s | val AUPRC 0.714759 | val AUROC 0.854000 | thr 0.95 | best epoch 73
[stage2_refined] epoch  78/100 | loss 0.015234 | train 0.026s | val AUPRC 0.714283 | val AUROC 0.854138 | thr 0.94 | best epoch 73
[stage2_refined] epoch  79/100 | loss 0.014547 | train 0.026s | val AUPRC 0.714468 | val AUROC 0.854317 | thr 0.95 | best epoch 73
[stage2_refined] epoch  80/100 | loss 0.013850 | train 0.026s | val AUPRC 0.714287 | val AUROC 0.854409 | thr 0.96 | best epoch 73
[stage2_refined] epoch  81/100 | loss 0.013199 | train 0.026s | val AUPRC 0.714115 | val AUROC 0.854441 | thr 0.94 | best epoch 73
[stage2_refined] epoch  82/100 | loss 0.012622 | train 0.026s | val AUPRC 0.714834 | val AUROC 0.854637 | thr 0.95 | best epoch 73
[stage2_refined] epoch  83/100 | loss 0.012035 | train 0.026s | val AUPRC 0.714741 | val AUROC 0.854753 | thr 0.95 | best epoch 73
[stage2_refined] epoch  84/100 | loss 0.011508 | train 0.026s | val AUPRC 0.714410 | val AUROC 0.854825 | thr 0.94 | best epoch 73
[stage2_refined] epoch  85/100 | loss 0.011030 | train 0.026s | val AUPRC 0.714837 | val AUROC 0.854991 | thr 0.95 | best epoch 73
[stage2_refined] epoch  86/100 | loss 0.010539 | train 0.026s | val AUPRC 0.714902 | val AUROC 0.855085 | thr 0.97 | best epoch 73
[stage2_refined] epoch  87/100 | loss 0.010099 | train 0.026s | val AUPRC 0.714857 | val AUROC 0.855074 | thr 0.96 | best epoch 73
[stage2_refined] epoch  88/100 | loss 0.009676 | train 0.026s | val AUPRC 0.715217 | val AUROC 0.855164 | thr 0.97 | best epoch 88
[stage2_refined] epoch  89/100 | loss 0.009263 | train 0.026s | val AUPRC 0.715366 | val AUROC 0.855260 | thr 0.97 | best epoch 89
[stage2_refined] epoch  90/100 | loss 0.008891 | train 0.026s | val AUPRC 0.715738 | val AUROC 0.855301 | thr 0.97 | best epoch 90
[stage2_refined] epoch  91/100 | loss 0.008528 | train 0.026s | val AUPRC 0.716136 | val AUROC 0.855377 | thr 0.97 | best epoch 91
[stage2_refined] epoch  92/100 | loss 0.008179 | train 0.026s | val AUPRC 0.716642 | val AUROC 0.855388 | thr 0.98 | best epoch 92
[stage2_refined] epoch  93/100 | loss 0.007864 | train 0.026s | val AUPRC 0.716514 | val AUROC 0.855263 | thr 0.96 | best epoch 92
[stage2_refined] epoch  94/100 | loss 0.007563 | train 0.026s | val AUPRC 0.716655 | val AUROC 0.855218 | thr 0.97 | best epoch 94
[stage2_refined] epoch  95/100 | loss 0.007269 | train 0.026s | val AUPRC 0.716627 | val AUROC 0.855211 | thr 0.97 | best epoch 94
[stage2_refined] epoch  96/100 | loss 0.006998 | train 0.026s | val AUPRC 0.716677 | val AUROC 0.855230 | thr 0.96 | best epoch 96
[stage2_refined] epoch  97/100 | loss 0.006733 | train 0.026s | val AUPRC 0.716907 | val AUROC 0.855293 | thr 0.97 | best epoch 97
[stage2_refined] epoch  98/100 | loss 0.006481 | train 0.026s | val AUPRC 0.717014 | val AUROC 0.855314 | thr 0.97 | best epoch 98
[stage2_refined] epoch  99/100 | loss 0.006241 | train 0.026s | val AUPRC 0.717108 | val AUROC 0.855309 | thr 0.96 | best epoch 99
