==============================================================================
GHRN | fdcompcn | unified | TR40 | seed 2
==============================================================================
Run ID: ghrn_fdcompcn_unified_tr40_seed2_a6000_20260913T233929Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.03 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded fdcompcn: 5,317 nodes, 57 features, 4 relation(s)
[compatibility] NOTE fdcompcn is multi-relational; GHRN is a homogeneous spectral method and receives the frozen union view. Record this pair as PASS_WITH_SHARED_ADAPTER (A1).
Split: train 2,126 | valid 1,063 | test 2,128
Graph: 5,317 nodes, 12,585 stored directed edges (backend: dgl)
Training fraud/normal: 224/1,902 | fraud weight 8.4911
Parameters: 73,474 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage2_refined] epoch  10/100 | loss 0.686370 | train 0.012s | val AUPRC 0.147254 | val AUROC 0.598965 | thr 0.53 | best epoch 10
[stage2_refined] epoch  11/100 | loss 0.685851 | train 0.011s | val AUPRC 0.150007 | val AUROC 0.601604 | thr 0.55 | best epoch 11
[stage2_refined] epoch  12/100 | loss 0.685378 | train 0.011s | val AUPRC 0.152803 | val AUROC 0.603951 | thr 0.54 | best epoch 12
[stage2_refined] epoch  13/100 | loss 0.684906 | train 0.011s | val AUPRC 0.154204 | val AUROC 0.604880 | thr 0.54 | best epoch 13
[stage2_refined] epoch  14/100 | loss 0.684437 | train 0.011s | val AUPRC 0.156623 | val AUROC 0.607096 | thr 0.54 | best epoch 14
[stage2_refined] epoch  15/100 | loss 0.684008 | train 0.011s | val AUPRC 0.157983 | val AUROC 0.606326 | thr 0.55 | best epoch 15
[stage2_refined] epoch  16/100 | loss 0.683574 | train 0.011s | val AUPRC 0.160869 | val AUROC 0.606195 | thr 0.55 | best epoch 16
[stage2_refined] epoch  17/100 | loss 0.683113 | train 0.010s | val AUPRC 0.165804 | val AUROC 0.608288 | thr 0.55 | best epoch 17
[stage2_refined] epoch  18/100 | loss 0.682638 | train 0.011s | val AUPRC 0.168395 | val AUROC 0.609668 | thr 0.56 | best epoch 18
[stage2_refined] epoch  19/100 | loss 0.682165 | train 0.011s | val AUPRC 0.172864 | val AUROC 0.609875 | thr 0.56 | best epoch 19
[stage2_refined] epoch  20/100 | loss 0.681677 | train 0.011s | val AUPRC 0.176738 | val AUROC 0.609485 | thr 0.56 | best epoch 20
[stage2_refined] epoch  21/100 | loss 0.681227 | train 0.010s | val AUPRC 0.182657 | val AUROC 0.610316 | thr 0.57 | best epoch 21
[stage2_refined] epoch  22/100 | loss 0.680775 | train 0.011s | val AUPRC 0.185557 | val AUROC 0.610786 | thr 0.57 | best epoch 22
[stage2_refined] epoch  23/100 | loss 0.680317 | train 0.011s | val AUPRC 0.188745 | val AUROC 0.611293 | thr 0.57 | best epoch 23
[stage2_refined] epoch  24/100 | loss 0.679872 | train 0.010s | val AUPRC 0.193168 | val AUROC 0.611471 | thr 0.58 | best epoch 24
[stage2_refined] epoch  25/100 | loss 0.679414 | train 0.010s | val AUPRC 0.202061 | val AUROC 0.611283 | thr 0.58 | best epoch 25
[stage2_refined] epoch  26/100 | loss 0.678939 | train 0.011s | val AUPRC 0.208116 | val AUROC 0.613142 | thr 0.58 | best epoch 26
[stage2_refined] epoch  27/100 | loss 0.678466 | train 0.010s | val AUPRC 0.208027 | val AUROC 0.615377 | thr 0.58 | best epoch 26
[stage2_refined] epoch  28/100 | loss 0.677987 | train 0.011s | val AUPRC 0.196877 | val AUROC 0.615724 | thr 0.58 | best epoch 26
[stage2_refined] epoch  29/100 | loss 0.677489 | train 0.010s | val AUPRC 0.195463 | val AUROC 0.615677 | thr 0.58 | best epoch 26
[stage2_refined] epoch  30/100 | loss 0.677002 | train 0.010s | val AUPRC 0.196241 | val AUROC 0.616508 | thr 0.58 | best epoch 26
[stage2_refined] epoch  31/100 | loss 0.676516 | train 0.011s | val AUPRC 0.193226 | val AUROC 0.616184 | thr 0.57 | best epoch 26
[stage2_refined] epoch  32/100 | loss 0.676043 | train 0.010s | val AUPRC 0.186284 | val AUROC 0.615564 | thr 0.57 | best epoch 26
[stage2_refined] epoch  33/100 | loss 0.675572 | train 0.010s | val AUPRC 0.185346 | val AUROC 0.615048 | thr 0.57 | best epoch 26
[stage2_refined] epoch  34/100 | loss 0.675089 | train 0.010s | val AUPRC 0.185156 | val AUROC 0.615330 | thr 0.57 | best epoch 26
[stage2_refined] epoch  35/100 | loss 0.674612 | train 0.010s | val AUPRC 0.184981 | val AUROC 0.616269 | thr 0.57 | best epoch 26
[stage2_refined] epoch  36/100 | loss 0.674128 | train 0.010s | val AUPRC 0.186018 | val AUROC 0.616043 | thr 0.57 | best epoch 26
[stage2_refined] epoch  37/100 | loss 0.673648 | train 0.010s | val AUPRC 0.186040 | val AUROC 0.617395 | thr 0.57 | best epoch 26
[stage2_refined] epoch  38/100 | loss 0.673138 | train 0.010s | val AUPRC 0.186055 | val AUROC 0.618343 | thr 0.57 | best epoch 26
[stage2_refined] epoch  39/100 | loss 0.672651 | train 0.010s | val AUPRC 0.187622 | val AUROC 0.618325 | thr 0.57 | best epoch 26
[stage2_refined] epoch  40/100 | loss 0.672172 | train 0.011s | val AUPRC 0.187518 | val AUROC 0.618287 | thr 0.57 | best epoch 26
[stage2_refined] epoch  41/100 | loss 0.671679 | train 0.010s | val AUPRC 0.187058 | val AUROC 0.617330 | thr 0.57 | best epoch 26
[stage2_refined] epoch  42/100 | loss 0.671186 | train 0.010s | val AUPRC 0.186420 | val AUROC 0.615724 | thr 0.57 | best epoch 26
[stage2_refined] epoch  43/100 | loss 0.670688 | train 0.011s | val AUPRC 0.185874 | val AUROC 0.615114 | thr 0.57 | best epoch 26
[stage2_refined] epoch  44/100 | loss 0.670174 | train 0.011s | val AUPRC 0.185790 | val AUROC 0.615104 | thr 0.57 | best epoch 26
[stage2_refined] epoch  45/100 | loss 0.669659 | train 0.011s | val AUPRC 0.185645 | val AUROC 0.615142 | thr 0.57 | best epoch 26
[stage2_refined] epoch  46/100 | loss 0.669159 | train 0.010s | val AUPRC 0.185533 | val AUROC 0.615029 | thr 0.57 | best epoch 26
[stage2_refined] early stopping: no improvement for 20 epochs
